Threshold,Precision,Recall
0.020858653806350123,0.19236417033773862,0.966789667896679
0.02112012987012987,0.19250551065393093,0.966789667896679
0.02125,0.19264705882352942,0.966789667896679
0.021625000000000002,0.1927888153053716,0.966789667896679
0.02169491525423729,0.19293078055964655,0.966789667896679
0.021875,0.19307295504789979,0.966789667896679
0.021901041666666666,0.19321533923303835,0.966789667896679
0.021920163170163168,0.19335793357933578,0.966789667896679
0.02203125,0.1935007385524372,0.966789667896679
0.02203584229390681,0.19364375461936437,0.966789667896679
0.022104895104895102,0.1937869822485207,0.966789667896679
0.022109375,0.19393042190969653,0.966789667896679
0.022195121951219515,0.19421793921423278,0.966789667896679
0.022261904761904764,0.1943620178041543,0.966789667896679
0.02235,0.1945063103192279,0.966789667896679
0.022361111111111113,0.19465081723625557,0.966789667896679
0.022446808510638298,0.19479553903345725,0.966789667896679
0.0225,0.1949404761904762,0.966789667896679
0.02252102064602065,0.20153846153846153,0.966789667896679
0.02286842105263158,0.201693610469592,0.966789667896679
0.02292427681616644,0.20184899845916796,0.966789667896679
0.023,0.20200462606013878,0.966789667896679
0.023229166666666665,0.2023166023166023,0.966789667896679
0.02332359346642468,0.20247295208655333,0.966789667896679
0.02387263099219621,0.2026295436968291,0.966789667896679
0.023990740740740743,0.20278637770897834,0.966789667896679
0.024204545454545454,0.2029434546862897,0.966789667896679
0.024521276595744677,0.20310077519379846,0.966789667896679
0.02453125,0.20325833979829325,0.966789667896679
0.024601260321599306,0.20341614906832298,0.966789667896679
0.0246875,0.20357420357420358,0.966789667896679
0.02475,0.20373250388802489,0.966789667896679
0.024833333333333332,0.20389105058365758,0.966789667896679
0.02484375,0.20404984423676012,0.966789667896679
0.025,0.20420888542478566,0.966789667896679
0.02514781096563012,0.20976781425140112,0.966789667896679
0.02536842105263158,0.20993589743589744,0.966789667896679
0.025372610329819727,0.21010425020048115,0.966789667896679
0.025683922359266288,0.2102728731942215,0.966789667896679
0.02575171639058547,0.21044176706827308,0.966789667896679
0.025982142857142856,0.21061093247588425,0.966789667896679
0.02602490421455939,0.21078037007240547,0.966789667896679
0.02646551724137931,0.2109500805152979,0.966789667896679
0.026785714285714288,0.21112006446414183,0.966789667896679
0.026919354838709678,0.21129032258064517,0.966789667896679
0.02723684210526316,0.21146085552865213,0.966789667896679
0.02734375,0.21163166397415187,0.966789667896679
0.027448979591836738,0.211802748585287,0.966789667896679
0.027490774907749076,0.21197411003236247,0.966789667896679
0.0275,0.21214574898785424,0.966789667896679
0.027584678053428055,0.21617161716171618,0.966789667896679
0.027793564794338792,0.21635012386457472,0.966789667896679
0.027868421052631577,0.21652892561983472,0.966789667896679
0.02814285714285714,0.21670802315963605,0.966789667896679
0.028208609507166665,0.21688741721854304,0.966789667896679
0.028235294117647056,0.21706710853355426,0.966789667896679
0.028965517241379312,0.21724709784411278,0.966789667896679
0.028999999999999998,0.2174273858921162,0.966789667896679
0.029284188034188034,0.21760797342192692,0.966789667896679
0.029500000000000002,0.21778886118038238,0.966789667896679
0.02965169022154316,0.21797004991680533,0.966789667896679
0.029750000000000002,0.21815154038301415,0.966789667896679
0.029775641025641026,0.21833333333333332,0.966789667896679
0.029861111111111113,0.21851542952460384,0.966789667896679
0.029990774907749075,0.21869782971619364,0.966789667896679
0.03,0.21888053467000834,0.966789667896679
0.030048076923076924,0.2231686541737649,0.966789667896679
