Threshold,False Negatives,False Positives,Expected Cost
0.030117814171122994,9,911,181650
0.030554935368209364,9,910,181500
0.03085357176185144,9,909,181350
0.03152687883430375,9,908,181200
0.03201357466063349,9,907,181050
0.03203125,9,906,180900
0.0322887323943662,9,905,180750
0.032417763157894734,9,904,180600
0.03241935483870968,9,903,180450
0.0325,9,902,180300
0.03286057692307692,9,871,175650
0.03303649692656036,9,870,175500
0.034523809523809526,9,869,175350
0.034667790850837994,9,868,175200
0.034739886614459266,9,867,175050
0.034793700088731144,9,866,174900
0.034917763157894736,9,865,174750
0.03495283018867925,9,864,174600
0.035,9,863,174450
0.035304347826086956,9,849,172350
0.035722787542399013,9,848,172200
0.03625,9,847,172050
0.036588109602815486,9,846,171900
0.03674404761904762,9,845,171750
0.036807303807303814,9,844,171600
0.03683152173913043,9,843,171450
0.03711538461538462,9,842,171300
0.037138354700854706,9,841,171150
0.03714372086247086,9,840,171000
0.03723575367647059,9,839,170850
0.037307692307692306,9,838,170700
0.0373828125,9,837,170550
0.03743902439024391,9,836,170400
0.0375,9,835,170250
0.037632045757819754,9,816,167400
0.03786842105263158,9,815,167250
0.03894444444444444,9,814,167100
0.03896551724137931,9,813,166950
0.03936248647186147,9,812,166800
0.039447704240487914,9,811,166650
0.03952724358974359,9,810,166500
0.03958629768461853,9,809,166350
0.03970535714285714,9,808,166200
0.03971818585722706,9,807,166050
0.03991666666666667,9,806,165900
0.04,9,805,165750
0.04027595001675884,9,787,163050
0.04036842105263158,9,786,162900
0.0405,9,785,162750
0.04066834207459207,9,784,162600
0.04127882647771242,9,783,162450
0.04144327894327894,9,782,162300
0.04160008741258741,9,781,162150
0.04172213622291022,9,780,162000
0.04175893550893551,9,779,161850
0.041835165737255514,9,778,161700
0.04191512076240361,9,777,161550
0.04195652173913043,9,776,161400
0.042109375,9,775,161250
0.04211538461538462,9,774,161100
0.04226946271929824,9,773,160950
0.04230769230769231,9,772,160800
0.04248587570621469,9,771,160650
0.0425,9,770,160500
0.04330560021918038,9,758,158700
0.04346153846153847,10,758,163700
0.04428418803418803,10,757,163550
